rating_key,started,stopped,duration_minutes,user_id,username,media_type,title,parent_title,grandparent_title
10038496,1750701087,1750704687,60.0,487096048,amanda4828,episode,Episode 35,,Married at First Sight (AU)
10038495,1750692419,1750696019,60.0,487096048,amanda4828,episode,Episode 34,,Married at First Sight (AU)
10038494,1750648896,1750652496,60.0,18859358,RSRERandy,episode,Entry,,The Chosen
10038493,1750648639,1750652239,60.0,442972,Silas7458,episode,Acolyte,,FBI
10038492,1750646062,1750649662,60.0,442972,Silas7458,episode,Hitched,,FBI
10038491,1750643475,1750647075,60.0,442972,Silas7458,episode,Unearth,,FBI
10038490,1750578222,1750581822,60.0,132425852,kyleengel,movie,Monty Python and the Holy Grail,,
10038489,1750570151,1750573751,60.0,18859358,RSRERandy,episode,Entry,,The Chosen
10038488,1750429502,1750433102,60.0,487096048,amanda4828,episode,Episode 33,,Married at First Sight (AU)
10038487,1750379224,1750382824,60.0,30589688,Jordan & Liam,movie,A Minecraft Movie,,
10038486,1750357373,1750360973,60.0,487096048,amanda4828,episode,Episode 32,,Married at First Sight (AU)
10038485,1750357313,1750360913,60.0,487096048,amanda4828,episode,Episode 32,,Married at First Sight (AU)
10038484,1750346446,1750350046,60.0,487096048,amanda4828,episode,Episode 31,,Married at First Sight (AU)
10038482,1750280890,1750284490,60.0,487096048,amanda4828,episode,Episode 30,,Married at First Sight (AU)
10038481,1750276338,1750279938,60.0,30589688,Jordan & Liam,movie,Zathura: A Space Adventure,,
10038479,1750215146,1750218746,60.0,442972,Silas7458,episode,Hitched,,FBI
10038478,1750190684,1750194284,60.0,487096048,amanda4828,episode,Episode 29,,Married at First Sight (AU)
10038477,1750181578,1750185178,60.0,487096048,amanda4828,episode,Episode 28,,Married at First Sight (AU)
10038476,1750169986,1750173586,60.0,487096048,amanda4828,episode,Episode 27,,Married at First Sight (AU)
10038475,1750133501,1750137101,60.0,954621,Mcgyver23,movie,Aquaman and the Lost Kingdom,,
10038474,1750118201,1750121801,60.0,454885222,fosterj61,movie,Caddo Lake,,
10038473,1750103345,1750106945,60.0,487096048,amanda4828,episode,Episode 26,,Married at First Sight (AU)
10038472,1749965853,1749969453,60.0,442972,Silas7458,episode,Unearth,,FBI
10038471,1749955610,1749959210,60.0,442972,Silas7458,episode,Manhunt,,FBI
10038470,1749953020,1749956620,60.0,442972,Silas7458,episode,Shelter,,FBI
10038469,1749944893,1749948493,60.0,30589688,Jordan & Liam,movie,Sonic the Hedgehog 2,,
10038468,1749936474,1749940074,60.0,442972,Silas7458,movie,Flight Risk,,
10038466,1749856319,1749859919,60.0,30589688,Jordan & Liam,movie,Transformers One,,
10038465,1749768166,1749771766,60.0,988871,Shwnshltn,movie,The Hunger Games: Mockingjay - Part 2,,
10038464,1749748942,1749752542,60.0,487096048,amanda4828,episode,Episode 25,,Married at First Sight (AU)
10038462,1749657127,1749660727,60.0,487096048,amanda4828,episode,Episode 24,,Married at First Sight (AU)
10038461,1749494141,1749497741,60.0,487096048,amanda4828,episode,Episode 23,,Married at First Sight (AU)
10038460,1749494123,1749497723,60.0,487096048,amanda4828,episode,Episode 23,,Married at First Sight (AU)
10038459,1749442003,1749445603,60.0,18859358,RSRERandy,movie,That Thing You Do!,,
10038458,1749423409,1749427009,60.0,487096048,amanda4828,episode,Episode 22,,Married at First Sight (AU)
10038457,1749356131,1749359731,60.0,487096048,amanda4828,episode,Episode 21,,Married at First Sight (AU)
10038456,1749331894,1749335494,60.0,30589688,Jordan & Liam,movie,Transformers One,,
10038455,1749263619,1749267219,60.0,988871,Shwnshltn,movie,The Hunger Games: Mockingjay - Part 1,,
10038454,1749261162,1749264762,60.0,954621,Mcgyver23,episode,Tall Drink of Water,,Yellowstone (2018)
10038453,1749244842,1749248442,60.0,487096048,amanda4828,episode,Episode 20,,Married at First Sight (AU)
10038452,1749226347,1749229947,60.0,487096048,amanda4828,episode,Episode 19,,Married at First Sight (AU)
10038451,1749176325,1749179925,60.0,988871,Shwnshltn,movie,The Hunger Games: Catching Fire,,
10038450,1749160187,1749163787,60.0,487096048,amanda4828,episode,Episode 18,,Married at First Sight (AU)
10038449,1749145265,1749148865,60.0,487096048,amanda4828,episode,Episode 17,,Married at First Sight (AU)
10038448,1749140249,1749143849,60.0,30589688,Jordan & Liam,movie,The Wild Robot,,
10038447,1749138737,1749142337,60.0,487096048,amanda4828,episode,Episode 16,,Married at First Sight (AU)
10038446,1748986199,1748989799,60.0,487096048,amanda4828,episode,Episode 15,,Married at First Sight (AU)
10038445,1748979893,1748983493,60.0,487096048,amanda4828,episode,Episode 14,,Married at First Sight (AU)
10038444,1748961874,1748965474,60.0,487096048,amanda4828,episode,Episode 13,,Married at First Sight (AU)
10038443,1748877602,1748881202,60.0,487096048,amanda4828,episode,Episode 12,,Married at First Sight (AU)
10038442,1748824176,1748827776,60.0,1868531,Dbearden333,movie,Harry Potter and the Order of the Phoenix,,
10038441,1748813198,1748816798,60.0,30589688,Jordan & Liam,movie,Transformers One,,
10038440,1748745263,1748748863,60.0,988871,Shwnshltn,movie,The Hunger Games,,
10038439,1748711197,1748714797,60.0,5714470,Faithman6,movie,Slingshot,,
10038438,1748646413,1748650013,60.0,442972,Silas7458,episode,Redoubt,,FBI
10038437,1748577620,1748581220,60.0,487096048,amanda4828,episode,Episode 11,,Married at First Sight (AU)
10038436,1748572380,1748575980,60.0,442972,Silas7458,episode,Descent,,FBI
10038435,1748493420,1748497020,60.0,487096048,amanda4828,episode,Episode 10,,Married at First Sight (AU)
10038434,1748479964,1748483564,60.0,988871,Shwnshltn,movie,The Hunger Games: The Ballad of Songbirds & Snakes,,
10038433,1748409015,1748412615,60.0,954621,Mcgyver23,movie,The Accountant 2,,
10038432,1748377072,1748380672,60.0,487096048,amanda4828,episode,Episode 9,,Married at First Sight (AU)
10038431,1748371238,1748374838,60.0,487096048,amanda4828,episode,Episode 8,,Married at First Sight (AU)
10038430,1748311100,1748314700,60.0,442972,Silas7458,episode,Gaijin (2),,FBI: International
10038429,1748282219,1748285819,60.0,30589688,Jordan & Liam,movie,Dog Man,,
10038427,1748208371,1748211971,60.0,442972,Silas7458,movie,Saw X,,
10038426,1748205386,1748208986,60.0,30589688,Jordan & Liam,movie,A Minecraft Movie,,
10038425,1748198678,1748202278,60.0,30589688,Jordan & Liam,episode,"Millefiori Glass Paperweights, Road Salt, Nutcrackers, Car Doors",,How It's Made
10038419,1748060644,1748064244,60.0,18859358,RSRERandy,movie,Warfare,,
10038418,1748060379,1748063979,60.0,132425852,kyleengel,movie,The Matrix,,
10038417,1748057137,1748060737,60.0,650610,Bibi S,movie,Caddo Lake,,
10038416,1748056456,1748060056,60.0,650610,Bibi S,movie,Caddo Lake,,
10038415,1748044778,1748048378,60.0,504841,MelindaA,movie,Warfare,,
10038412,1748038260,1748041860,60.0,504841,MelindaA,movie,Red One,,
10038410,1748029350,1748032950,60.0,504841,MelindaA,movie,The Accountant 2,,
10038409,1747982564,1747986164,60.0,442972,Silas7458,episode,Vows (2),,Chicago P.D.
10038408,1747972346,1747975946,60.0,132425852,kyleengel,movie,DC Showcase: Constantine - The House of Mystery,,
10038407,1747970247,1747973847,60.0,487096048,amanda4828,episode,Episode 7,,Married at First Sight (AU)
10038404,1747930924,1747934524,60.0,487096048,amanda4828,episode,Episode 6,,Married at First Sight (AU)
10038403,1747925342,1747928942,60.0,487096048,amanda4828,episode,Episode 5,,Married at First Sight (AU)
10038401,1747860948,1747864548,60.0,487096048,amanda4828,episode,Episode 4,,Married at First Sight (AU)
10038400,1747844746,1747848346,60.0,487096048,amanda4828,episode,Episode 3,,Married at First Sight (AU)
10038399,1747838644,1747842244,60.0,487096048,amanda4828,episode,Episode 2,,Married at First Sight (AU)
10038396,1747767815,1747771415,60.0,487096048,amanda4828,episode,Episode 1,,Married at First Sight (AU)
10038395,1747762211,1747765811,60.0,487096048,amanda4828,episode,Grand Finale,,Married at First Sight (AU)
10038392,1747711666,1747715266,60.0,487096048,amanda4828,episode,Episode 36,,Married at First Sight (AU)
10038390,1747704889,1747708489,60.0,442972,Silas7458,episode,Open Casket (1),,Chicago P.D.
10038389,1747694824,1747698424,60.0,442972,Silas7458,episode,Post-Rage,,Law & Order: Special Victims Unit
10038388,1747686883,1747690483,60.0,487096048,amanda4828,episode,Episode 35,,Married at First Sight (AU)
10038387,1747682076,1747685676,60.0,487096048,amanda4828,episode,Episode 34,,Married at First Sight (AU)
10038385,1747671833,1747675433,60.0,487096048,amanda4828,episode,Episode 33,,Married at First Sight (AU)
10038383,1747642475,1747646075,60.0,132425852,kyleengel,movie,The Matrix Revolutions,,
10038382,1747627652,1747631252,60.0,442972,Silas7458,episode,Herbivore Man (1),,FBI: International
10038381,1747625260,1747628860,60.0,442972,Silas7458,episode,We're Out of Here,,FBI: International
10038380,1747618726,1747622326,60.0,442972,Silas7458,episode,Flinch Now and It's Over,,FBI: International
10038378,1747616321,1747619921,60.0,429097479,ryanpeveto,movie,Mannequin,,
10038377,1747615462,1747619062,60.0,988871,Shwnshltn,episode,The Flamekeepers,,Silo
10038376,1747615220,1747618820,60.0,442972,Silas7458,episode,Lone Wolf,,FBI: International
10038375,1747612529,1747616129,60.0,988871,Shwnshltn,episode,The Relic,,Silo
10038374,1747611970,1747615570,60.0,442972,Silas7458,episode,Aperture,,Law & Order: Special Victims Unit
10038373,1747609466,1747613066,60.0,442972,Silas7458,episode,Shock Collar,,Law & Order: Special Victims Unit
10038372,1747606758,1747610358,60.0,442972,Silas7458,episode,Black Ice,,Chicago P.D.
10038371,1747603889,1747607489,60.0,442972,Silas7458,episode,Name Image Likeness,,Chicago P.D.
10038369,1747547450,1747551050,60.0,442972,Silas7458,episode,Demons,,Chicago P.D.
10038368,1747545749,1747549349,60.0,132425852,kyleengel,movie,The Matrix Reloaded,,
10038366,1747510697,1747514297,60.0,442972,Silas7458,movie,The Accountant 2,,
10038365,1747496862,1747500462,60.0,30589688,Jordan & Liam,movie,Transformers One,,
10038364,1747496452,1747500052,60.0,30589688,Jordan & Liam,movie,Transformers One,,
10038363,1747461471,1747465071,60.0,132425852,kyleengel,movie,The Matrix,,
10038362,1747456416,1747460016,60.0,487096048,amanda4828,episode,Episode 32,,Married at First Sight (AU)
10038361,1747421061,1747424661,60.0,487096048,amanda4828,episode,Episode 31,,Married at First Sight (AU)
10038360,1747331783,1747335383,60.0,487096048,amanda4828,episode,Episode 30,,Married at First Sight (AU)
10038359,1747323644,1747327244,60.0,487096048,amanda4828,episode,Episode 29,,Married at First Sight (AU)
10038358,1747267171,1747270771,60.0,30589688,Jordan & Liam,episode,Electrophoretic Displays; Dry Erase Boards; Air Rifles; Quartz Countertops,,How It's Made
10038357,1747261465,1747265065,60.0,30589688,Jordan & Liam,movie,PAW Patrol: The Mighty Movie,,
10038356,1747254459,1747258059,60.0,487096048,amanda4828,episode,Episode 28,,Married at First Sight (AU)
10038355,1747250634,1747254234,60.0,487096048,amanda4828,episode,Episode 27,,Married at First Sight (AU)
10038354,1747240352,1747243952,60.0,487096048,amanda4828,episode,Episode 26,,Married at First Sight (AU)
10038353,1747235142,1747238742,60.0,487096048,amanda4828,episode,Episode 25,,Married at First Sight (AU)
10038349,1747167865,1747171465,60.0,487096048,amanda4828,episode,Episode 24,,Married at First Sight (AU)
10038348,1747153284,1747156884,60.0,487096048,amanda4828,episode,Episode 23,,Married at First Sight (AU)
10038347,1747080366,1747083966,60.0,487096048,amanda4828,episode,Episode 22,,Married at First Sight (AU)
10038346,1747071926,1747075526,60.0,487096048,amanda4828,episode,Episode 21,,Married at First Sight (AU)
10038345,1747062666,1747066266,60.0,487096048,amanda4828,episode,Episode 20,,Married at First Sight (AU)
10038343,1747012795,1747016395,60.0,18859358,RSRERandy,movie,A Complete Unknown,,
10038340,1746939383,1746942983,60.0,954621,Mcgyver23,movie,The Accountant 2,,
10038339,1746928818,1746932418,60.0,954621,Mcgyver23,movie,The Gorge,,
10038338,1746903272,1746906872,60.0,30589688,Jordan & Liam,movie,Transformers One,,
10038337,1746890422,1746894022,60.0,442972,Silas7458,episode,Transference,,Chicago P.D.
10038336,1746847760,1746851360,60.0,650610,Bibi S,episode,Working for the Enemy,,Georgie & Mandy's First Marriage
10038335,1746846542,1746850142,60.0,650610,Bibi S,episode,A House Divided,,Georgie & Mandy's First Marriage
10038331,1746745635,1746749235,60.0,30589688,Jordan & Liam,movie,Transformers One,,
10038329,1746554274,1746557874,60.0,487096048,amanda4828,episode,Episode 19,,Married at First Sight (AU)
10038328,1746498209,1746501809,60.0,487096048,amanda4828,episode,Episode 18,,Married at First Sight (AU)
10038327,1746476188,1746479788,60.0,487096048,amanda4828,episode,Episode 17,,Married at First Sight (AU)
10038326,1746467498,1746471098,60.0,487096048,amanda4828,episode,Episode 16,,Married at First Sight (AU)
10038325,1746462775,1746466375,60.0,487096048,amanda4828,episode,Episode 15,,Married at First Sight (AU)
10038323,1746411339,1746414939,60.0,954621,Mcgyver23,movie,Next,,
10038319,1746310983,1746314583,60.0,454885222,fosterj61,movie,Jurassic World,,
10038316,1746156386,1746159986,60.0,487096048,amanda4828,episode,Episode 14,,Married at First Sight (AU)
10038313,1746029363,1746032963,60.0,487096048,amanda4828,episode,Episode 13,,Married at First Sight (AU)
10038312,1746024758,1746028358,60.0,487096048,amanda4828,episode,Episode 12,,Married at First Sight (AU)
10038311,1745984736,1745988336,60.0,650610,Bibi S,episode,Humble,,The Chosen
10038310,1745982988,1745986588,60.0,954621,Mcgyver23,movie,Aquaman and the Lost Kingdom,,
10038309,1745958865,1745962465,60.0,487096048,amanda4828,episode,Episode 11,,Married at First Sight (AU)
10038308,1745953437,1745957037,60.0,487096048,amanda4828,episode,Episode 10,,Married at First Sight (AU)
10038307,1745872800,1745876400,60.0,487096048,amanda4828,episode,Episode 9,,Married at First Sight (AU)
10038305,1745859751,1745863351,60.0,487096048,amanda4828,episode,Episode 8,,Married at First Sight (AU)
10038304,1745851176,1745854776,60.0,487096048,amanda4828,episode,Episode 7,,Married at First Sight (AU)
10038303,1745818556,1745822156,60.0,954621,Mcgyver23,movie,Pacific Rim: Uprising,,
10038302,1745818271,1745821871,60.0,18859358,RSRERandy,movie,Windtalkers,,
10038301,1745816096,1745819696,60.0,954621,Mcgyver23,movie,57 Seconds,,
10038296,1745791489,1745795089,60.0,30589688,Jordan & Liam,movie,Transformers One,,
10038295,1745713472,1745717072,60.0,30589688,Jordan & Liam,movie,Transformers One,,
10038294,1745632635,1745636235,60.0,442972,Silas7458,episode,Seen and Unseen,,Chicago P.D.
10038293,1745594088,1745597688,60.0,487096048,amanda4828,episode,Episode 6,,Married at First Sight (AU)
10038292,1745555663,1745559263,60.0,442972,Silas7458,episode,Future Days,,The Last of Us
10038291,1745517440,1745521040,60.0,487096048,amanda4828,episode,Episode 5,,Married at First Sight (AU)
10038290,1745507140,1745510740,60.0,487096048,amanda4828,episode,Episode 4,,Married at First Sight (AU)
10038283,1745441636,1745445236,60.0,487096048,amanda4828,episode,"Australia: Season 9, Episode 3",,Married at First Sight (AU)
10038282,1745433796,1745437396,60.0,487096048,amanda4828,episode,Episode 2,,Married at First Sight (AU)
10038281,1745427734,1745431334,60.0,487096048,amanda4828,episode,Episode 1,,Married at First Sight (AU)
10038278,1745299199,1745302799,60.0,487096048,amanda4828,episode,Episode 32,,Married at First Sight (AU)
10038276,1745293455,1745297055,60.0,487096048,amanda4828,episode,Episode 31,,Married at First Sight (AU)
10038274,1745199884,1745203484,60.0,442972,Silas7458,episode,Play with Fire (II),,Law & Order: Special Victims Unit
10038273,1745196704,1745200304,60.0,442972,Silas7458,episode,Four Bodies,,FBI: Most Wanted
10038272,1745129466,1745133066,60.0,442972,Silas7458,episode,Dead Dead,,FBI: International
10038271,1745126871,1745130471,60.0,442972,Silas7458,episode,Little Angel,,FBI: International
10038270,1745124158,1745127758,60.0,442972,Silas7458,episode,They May Get Their Wish,,FBI: International
10038269,1745088411,1745092011,60.0,487096048,amanda4828,episode,Episode 30,,Married at First Sight (AU)
10038263,1745031643,1745035243,60.0,442972,Silas7458,episode,The Accuser,,Law & Order: Special Victims Unit
10038260,1744955657,1744959257,60.0,442972,Silas7458,episode,Let Me Bring Pardon,,Law & Order: Special Victims Unit
10038255,1744936735,1744940335,60.0,504841,MelindaA,movie,The Bikeriders,,
10038254,1744929318,1744932918,60.0,504841,MelindaA,movie,Slingshot,,
10038253,1744916326,1744919926,60.0,487096048,amanda4828,episode,Episode 29,,Married at First Sight (AU)
10038252,1744901497,1744905097,60.0,132425852,kyleengel,episode,Grand Finale,,Married at First Sight (AU)
10038246,1744858015,1744861615,60.0,132425852,kyleengel,episode,Episode 36,,Married at First Sight (AU)
10038245,1744850568,1744854168,60.0,132425852,kyleengel,episode,Episode 34,,Married at First Sight (AU)
10038244,1744846406,1744850006,60.0,132425852,kyleengel,episode,Episode 33,,Married at First Sight (AU)
10038243,1744823447,1744827047,60.0,487096048,amanda4828,episode,Episode 28,,Married at First Sight (AU)
10038240,1744763908,1744767508,60.0,1868531,Dbearden333,episode,Smack Attack,,Blue Bloods
10038239,1744761183,1744764783,60.0,1868531,Dbearden333,episode,What You See,,Blue Bloods
10038238,1744758317,1744761917,60.0,1868531,Dbearden333,episode,Officer Down,,Blue Bloods
10038237,1744755291,1744758891,60.0,1868531,Dbearden333,episode,Privilege,,Blue Bloods
10038236,1744747052,1744750652,60.0,487096048,amanda4828,episode,Episode 27,,Married at First Sight (AU)
10038233,1744691251,1744694851,60.0,487096048,amanda4828,episode,Episode 26,,Married at First Sight (AU)
10038232,1744690954,1744694554,60.0,1868531,Dbearden333,episode,Samaritan,,Blue Bloods
10038231,1744687387,1744690987,60.0,487096048,amanda4828,episode,Episode 25,,Married at First Sight (AU)
10038230,1744685888,1744689488,60.0,132425852,kyleengel,episode,Episode 29,,Married at First Sight (AU)
10038229,1744680590,1744684190,60.0,132425852,kyleengel,episode,Episode 28,,Married at First Sight (AU)
10038228,1744667450,1744671050,60.0,1868531,Dbearden333,episode,Pilot,,Blue Bloods
10038227,1744663276,1744666876,60.0,487096048,amanda4828,episode,Episode 24,,Married at First Sight (AU)
10038226,1744659369,1744662969,60.0,487096048,amanda4828,episode,Episode 23,,Married at First Sight (AU)
10038225,1744655501,1744659101,60.0,487096048,amanda4828,episode,Episode 22,,Married at First Sight (AU)
10038220,1744599381,1744602981,60.0,132425852,kyleengel,episode,Episode 25,,Married at First Sight (AU)
10038217,1744593550,1744597150,60.0,132425852,kyleengel,episode,Episode 24,,Married at First Sight (AU)
10038216,1744589359,1744592959,60.0,132425852,kyleengel,episode,Episode 23,,Married at First Sight (AU)
10038215,1744587263,1744590863,60.0,504841,MelindaA,movie,Wolfs,,
10038214,1744582946,1744586546,60.0,132425852,kyleengel,episode,Episode 22,,Married at First Sight (AU)
10038213,1744577949,1744581549,60.0,132425852,kyleengel,episode,Episode 21,,Married at First Sight (AU)
10038212,1744573034,1744576634,60.0,132425852,kyleengel,episode,Episode 20,,Married at First Sight (AU)
10038210,1744511721,1744515321,60.0,132425852,kyleengel,episode,Episode 17,,Married at First Sight (AU)
10038209,1744509536,1744513136,60.0,504841,MelindaA,episode,The Hollow of His Hand,,Daredevil: Born Again
10038208,1744506865,1744510465,60.0,504841,MelindaA,episode,Optics,,Daredevil: Born Again
10038207,1744505838,1744509438,60.0,1868531,Dbearden333,episode,Life Is a Promise,,Yellowstone (2018)
10038206,1744504591,1744508191,60.0,1868531,Dbearden333,episode,Life Is a Promise,,Yellowstone (2018)
10038205,1744504056,1744507656,60.0,504841,MelindaA,episode,Heaven's Half Hour,,Daredevil: Born Again
10038204,1744494585,1744498185,60.0,18859358,RSRERandy,episode,David and Goliath (2),,House of David
10038203,1744436371,1744439971,60.0,23582169,Skilsco,episode,Desire Is All You Need,,Yellowstone (2018)
10038202,1744425759,1744429359,60.0,18859358,RSRERandy,episode,David and Goliath (1),,House of David
10038201,1744425416,1744429016,60.0,132425852,kyleengel,episode,Episode 16,,Married at First Sight (AU)
10038200,1744422508,1744426108,60.0,18859358,RSRERandy,episode,Giants Awakend,,House of David
10038199,1744418706,1744422306,60.0,504841,MelindaA,episode,A Dream and a Memory,,1923
10038198,1744412488,1744416088,60.0,504841,MelindaA,episode,The Mountain Teeth of Monsters,,1923
10038197,1744394448,1744398048,60.0,487096048,amanda4828,episode,Episode 21,,Married at First Sight (AU)
10038193,1744337647,1744341247,60.0,1868531,Dbearden333,episode,Give the World Away,,Yellowstone (2018)
10038192,1744322287,1744325887,60.0,1868531,Dbearden333,episode,Counting Coup,,Yellowstone (2018)
10038191,1744318332,1744321932,60.0,1868531,Dbearden333,episode,Three Fifty-Three,,Yellowstone (2018)
10038190,1744314054,1744317654,60.0,1868531,Dbearden333,episode,The Apocalypse of Change,,Yellowstone (2018)
10038189,1744310382,1744313982,60.0,1868531,Dbearden333,episode,Desire Is All You Need,,Yellowstone (2018)
10038188,1744254612,1744258212,60.0,18859358,RSRERandy,episode,The Wolf and the Lion,,House of David
10038187,1744251303,1744254903,60.0,18859358,RSRERandy,episode,The Song of Moses,,House of David
10038186,1744247290,1744250890,60.0,18859358,RSRERandy,episode,The Anointing,,House of David
10038185,1744227365,1744230965,60.0,487096048,amanda4828,episode,Episode 20,,Married at First Sight (AU)
10038184,1744223608,1744227208,60.0,487096048,amanda4828,episode,Episode 19,,Married at First Sight (AU)
10038180,1744156068,1744159668,60.0,1868531,Dbearden333,episode,A Knife and No Coin,,Yellowstone (2018)
10038178,1744149046,1744152646,60.0,30589688,Jordan & Liam,movie,Transformers One,,
10038177,1744114692,1744118292,60.0,1868531,Dbearden333,episode,The Dream Is Not Me,,Yellowstone (2018)
10038175,1744091355,1744094955,60.0,23582169,Skilsco,episode,Three Fifty-Three,,Yellowstone (2018)
10038174,1744090859,1744094459,60.0,442972,Silas7458,episode,A Dream and a Memory,,1923
10038173,1744088004,1744091604,60.0,23582169,Skilsco,episode,The Apocalypse of Change,,Yellowstone (2018)
10038168,1744077865,1744081465,60.0,23582169,Skilsco,episode,Desire Is All You Need,,Yellowstone (2018)
10038167,1744059490,1744063090,60.0,1868531,Dbearden333,episode,"Cigarettes, Whiskey, a Meadow and You",,Yellowstone (2018)
10038166,1744054894,1744058494,60.0,1868531,Dbearden333,episode,Watch 'Em Ride Away,,Yellowstone (2018)
10038165,1743994842,1743998442,60.0,132425852,kyleengel,episode,Episode 13,,Married at First Sight (AU)
10038164,1743992773,1743996373,60.0,18859358,RSRERandy,episode,Deep Calls to Deep,,House of David
10038163,1743990193,1743993793,60.0,132425852,kyleengel,episode,Episode 12,,Married at First Sight (AU)
10038162,1743989039,1743992639,60.0,18859358,RSRERandy,episode,A Shepard and a King,,House of David
10038161,1743985883,1743989483,60.0,132425852,kyleengel,episode,Episode 9,,Married at First Sight (AU)
10038160,1743978855,1743982455,60.0,1868531,Dbearden333,episode,Horses in Heaven,,Yellowstone (2018)
10038159,1743972986,1743976586,60.0,132425852,kyleengel,episode,Episode 8,,Married at First Sight (AU)
10038158,1743968919,1743972519,60.0,132425852,kyleengel,episode,Episode 7,,Married at First Sight (AU)
10038157,1743967338,1743970938,60.0,30589688,Jordan & Liam,movie,The Iron Giant,,
10038156,1743967057,1743970657,60.0,429097479,ryanpeveto,movie,Ice Age: Dawn of the Dinosaurs,,
10038155,1743966730,1743970330,60.0,18859358,RSRERandy,episode,A Dream and a Memory,,1923
10038154,1743964631,1743968231,60.0,132425852,kyleengel,episode,Episode 6,,Married at First Sight (AU)
10038153,1743960179,1743963779,60.0,30589688,Jordan & Liam,movie,Transformers One,,
10038152,1743911119,1743914719,60.0,1868531,Dbearden333,movie,Back to the Future Part II,,
10038151,1743909303,1743912903,60.0,18859358,RSRERandy,episode,Sassenach,,Outlander
10038150,1743898307,1743901907,60.0,18859358,RSRERandy,movie,The Patriot,,
10038149,1743895056,1743898656,60.0,132425852,kyleengel,episode,Episode 31,,Married at First Sight (AU)
10038148,1743891158,1743894758,60.0,132425852,kyleengel,episode,Episode 30,,Married at First Sight (AU)
10038147,1743889045,1743892645,60.0,132425852,kyleengel,episode,Episode 29,,Married at First Sight (AU)
10038146,1743888862,1743892462,60.0,30589688,Jordan & Liam,movie,The Polar Express,,
10038145,1743886793,1743890393,60.0,132425852,kyleengel,episode,Episode 28,,Married at First Sight (AU)
10038144,1743878175,1743881775,60.0,132425852,kyleengel,episode,Episode 27,,Married at First Sight (AU)
10038143,1743829758,1743833358,60.0,650610,Bibi S,movie,Uglies,,
10038142,1743824439,1743828039,60.0,132425852,kyleengel,episode,Episode 25,,Married at First Sight (AU)
10038141,1743819206,1743822806,60.0,132425852,kyleengel,episode,Episode 24,,Married at First Sight (AU)
